movie_title,color,director_name,actor_2_name,gross,genres,actor_1_name,movie_imdb_link,language,country,budget,title_year,movie_facebook_likes
Avatar ,Color,James Cameron,Joel David Moore,760505847,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,USA,237000000,2009,33000
Pirates of the Caribbean: At World's End ,Color,Gore Verbinski,Orlando Bloom,309404152,Action|Adventure|Fantasy,Johnny Depp,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,USA,300000000,2007,0
Spectre ,Color,Sam Mendes,Rory Kinnear,200074175,Action|Adventure|Thriller,Christoph Waltz,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,UK,245000000,2015,85000
The Dark Knight Rises ,Color,Christopher Nolan,Christian Bale,448130642,Action|Thriller,Tom Hardy,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,USA,250000000,2012,164000
Star Wars: Episode VII - The Force Awakens             ,,Doug Walker,Rob Walker,,Documentary,Doug Walker,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,0
John Carter ,Color,Andrew Stanton,Samantha Morton,73058679,Action|Adventure|Sci-Fi,Daryl Sabara,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,USA,263700000,2012,24000
Spider-Man 3 ,Color,Sam Raimi,James Franco,336530303,Action|Adventure|Romance,J.K. Simmons,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,258000000,2007,0
Tangled ,Color,Nathan Greno,Donna Murphy,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,USA,260000000,2010,29000
Avengers: Age of Ultron ,Color,Joss Whedon,Robert Downey Jr.,458991599,Action|Adventure|Sci-Fi,Chris Hemsworth,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,USA,250000000,2015,118000
Harry Potter and the Half-Blood Prince ,Color,David Yates,Daniel Radcliffe,301956980,Adventure|Family|Fantasy|Mystery,Alan Rickman,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,UK,250000000,2009,10000
